Master Date,Master Impressions,Master Clicks,CTR,Master Unique Pageviews,Bounce Rate,Average Time on Page,Master Cost
01/24/2020,0,0,0,5,0.5,0:00:22,0
02/19/2020,0,0,0,8,0.5,0:00:36,0
02/20/2020,0,0,0,1,1,0:00:00,0
02/24/2020,57,13,0.2281,46,0.3333,0:02:23,21.42
02/25/2020,0,0,0,30,0.3,0:01:46,0
02/26/2020,0,0,0,58,0.4167,0:00:35,0
02/27/2020,0,0,0,43,0.3077,0:00:32,0
02/28/2020,0,0,0,107,0.25,0:01:17,0
02/29/2020,0,0,0,44,0.3333,0:00:39,0
03/01/2020,0,0,0,67,0.2632,0:01:02,0
03/02/2020,0,0,0,63,0.2941,0:01:56,0
03/03/2020,25,1,0.04,112,0.1667,0:01:06,1.03
03/04/2020,216,23,0.1065,105,0.3889,0:00:57,23.72
03/05/2020,180,20,0.1111,68,0.3158,0:00:36,22.94
03/06/2020,100,25,0.25,77,0.4483,0:01:43,22.45
03/07/2020,201,13,0.0647,81,0.1579,0:01:20,10.56
03/08/2020,579,27,0.0466,97,0.32,0:00:42,31.12
03/09/2020,520,26,0.05,73,0.4,0:00:37,25.25
03/10/2020,384,32,0.0833,121,0.4359,0:02:11,24.38
03/11/2020,"3,030",29,0.0096,90,0.4286,0:01:40,19.88
03/12/2020,280,0,0,86,0.4762,0:00:34,0
03/13/2020,"1,052",12,0.0114,34,0.5714,0:01:03,9.22
03/14/2020,"2,070",18,0.0087,65,0.4118,0:01:15,30.42
03/15/2020,"1,654",14,0.0085,52,0.4444,0:01:26,20.83
03/16/2020,"2,519",20,0.0079,44,0.55,0:00:36,29.11
03/17/2020,975,19,0.0195,50,0.3158,0:00:50,27.74
03/18/2020,"2,780",27,0.0097,108,0.3704,0:00:42,26.02
03/19/2020,"2,000",24,0.012,85,0.4615,0:01:19,25.19
03/20/2020,"4,348",24,0.0055,80,0.5,0:00:37,21.99
03/21/2020,"4,393",17,0.0039,44,0.375,0:01:23,18.77
03/22/2020,"6,706",16,0.0024,42,0.7059,0:01:30,16.7
03/23/2020,"1,148",22,0.0192,57,0.5417,0:00:38,22.19
03/24/2020,"4,833",29,0.006,104,0.3,0:01:03,18.01
03/25/2020,"8,585",26,0.003,63,0.6552,0:01:12,21
03/26/2020,"2,089",28,0.0134,162,0.4118,0:00:55,21.32
03/27/2020,"5,052",24,0.0048,83,0.3333,0:01:12,16.9
03/28/2020,"6,044",23,0.0038,54,0.6818,0:01:24,16.31
03/29/2020,"6,058",30,0.005,69,0.5357,0:00:42,22.23
03/30/2020,"10,301",32,0.0031,80,0.5862,0:00:29,16.98
03/31/2020,"4,694",31,0.0066,115,0.3871,0:01:12,21.05
04/01/2020,"5,314",40,0.0075,137,0.619,0:00:51,25.9
04/02/2020,"13,020",46,0.0035,89,0.6304,0:01:26,25.48
04/03/2020,"12,828",48,0.0037,145,0.6222,0:01:16,22.44
04/04/2020,"12,116",41,0.0034,83,0.641,0:00:23,21.12
04/05/2020,"12,522",48,0.0038,58,0.8378,0:00:57,20.19
04/06/2020,"12,759",44,0.0034,112,0.525,0:00:55,23.81
04/07/2020,"5,141",42,0.0082,126,0.5435,0:00:42,24.2
04/08/2020,"4,350",39,0.009,207,0.4286,0:01:26,22.97
04/09/2020,"9,476",42,0.0044,124,0.5128,0:01:25,20.48
04/10/2020,"8,000",29,0.0036,93,0.5333,0:00:43,14.73
04/11/2020,"7,543",41,0.0054,88,0.6667,0:00:41,23.78
04/12/2020,"5,756",24,0.0042,57,0.5909,0:01:42,16.01
04/13/2020,"8,772",38,0.0043,112,0.566,0:01:04,30.6
04/14/2020,"5,833",38,0.0065,101,0.4694,0:01:11,26.82
04/15/2020,"5,732",41,0.0072,147,0.3556,0:00:35,25.29
04/16/2020,"7,841",35,0.0045,120,0.4242,0:01:00,22.93
04/17/2020,"5,525",36,0.0065,102,0.5556,0:01:09,23.55
04/18/2020,"8,445",34,0.004,75,0.75,0:00:38,19.31
04/19/2020,"5,992",38,0.0063,129,0.4167,0:01:08,22.43
04/20/2020,"5,421",36,0.0066,97,0.5,0:01:46,23.69
04/21/2020,"6,515",42,0.0064,122,0.6,0:00:42,22.25
04/22/2020,"7,726",47,0.0061,121,0.5435,0:00:55,21.85
04/23/2020,"6,133",48,0.0078,143,0.4528,0:01:18,22.09
04/24/2020,"6,297",32,0.0051,56,0.5926,0:01:02,12.5
04/25/2020,"6,505",42,0.0065,115,0.4884,0:01:48,20.27
04/26/2020,"9,631",44,0.0046,123,0.5532,0:01:17,22.06
04/27/2020,"7,095",45,0.0063,162,0.5313,0:01:08,23.15
04/28/2020,"6,010",43,0.0072,202,0.5313,0:01:10,20.41
04/29/2020,542,0,0,123,0.6364,0:02:39,0
04/30/2020,"4,961",51,0.0103,235,0.5588,0:01:13,19.29
05/01/2020,"10,101",44,0.0044,108,0.561,0:01:29,17.02
05/02/2020,"7,648",36,0.0047,97,0.6585,0:01:17,16.7
05/03/2020,"7,885",39,0.0049,107,0.6,0:00:40,29.25
05/04/2020,"1,364",34,0.0249,101,0.4324,0:01:17,25.34
05/05/2020,992,16,0.0161,78,0.3913,0:01:08,8.31
05/06/2020,"1,229",34,0.0277,170,0.25,0:01:12,23.54
05/07/2020,449,38,0.0846,168,0.2917,0:01:17,24.9
05/08/2020,251,45,0.1793,198,0.3448,0:01:22,33.94
05/09/2020,134,26,0.194,112,0.3611,0:00:55,20.04
05/10/2020,104,25,0.2404,111,0.4242,0:01:01,25.88
05/11/2020,48,3,0.0625,178,0.3654,0:01:33,6.54
05/12/2020,109,31,0.2844,95,0.359,0:00:57,26.26
05/13/2020,121,26,0.2149,127,0.1724,0:00:33,12.34
05/14/2020,141,29,0.2057,136,0.2821,0:01:24,14.71
05/15/2020,132,31,0.2348,137,0.25,0:01:20,19.87
05/16/2020,0,0,0,9,0.5,0:01:20,0
05/17/2020,0,0,0,6,0.5,0:05:46,0
05/18/2020,0,0,0,2,0,0:00:00,0
05/19/2020,0,0,0,12,0.2,0:07:33,0
05/20/2020,0,0,0,2,0.6667,0:00:00,0
05/21/2020,0,0,0,6,0.6667,0:00:07,0
05/22/2020,0,0,0,9,0.5,0:01:11,0
05/23/2020,0,0,0,3,0,0:03:04,0
05/24/2020,0,0,0,2,1,0:00:00,0
05/25/2020,0,0,0,13,0.25,0:00:41,0
05/27/2020,0,0,0,3,0,0:00:11,0
05/28/2020,0,0,0,2,1,0:00:00,0
05/29/2020,0,0,0,3,0,0:00:35,0
05/31/2020,0,0,0,3,0.6667,0:01:51,0
06/01/2020,52,7,0.1346,17,0.3333,0:00:26,11.64
06/02/2020,40,2,0.05,92,0.617,0:00:45,4.62
06/03/2020,378,30,0.0794,117,0.3871,0:00:45,138.77
06/04/2020,286,39,0.1364,73,0.625,0:01:02,101.43
06/05/2020,6,0,0,136,0.475,0:01:04,0
06/06/2020,269,27,0.1004,30,0.88,0:00:37,72.05
06/07/2020,405,27,0.0667,74,0.7308,0:01:00,68.58
06/08/2020,625,57,0.0912,207,0.5781,0:00:49,142.88
06/09/2020,392,43,0.1097,156,0.381,0:00:51,124.43
06/10/2020,383,36,0.094,100,0.3947,0:00:37,102.72
06/11/2020,453,42,0.0927,132,0.3488,0:00:44,103.17
06/12/2020,360,41,0.1139,123,0.5909,0:01:02,89.89
06/13/2020,197,23,0.1168,70,0.5556,0:01:30,47.99
06/14/2020,469,47,0.1002,188,0.4884,0:01:11,129.62
06/15/2020,344,42,0.1221,115,0.4,0:01:04,121.23
06/16/2020,30,0,0,108,0.5957,0:01:02,0
06/17/2020,448,36,0.0804,117,0.2941,0:01:02,82.98
06/18/2020,446,45,0.1009,130,0.35,0:01:24,128.66
06/19/2020,289,36,0.1246,61,0.6875,0:01:16,102.18
06/20/2020,208,19,0.0913,27,0.7222,0:00:46,45.4
06/21/2020,305,33,0.1082,120,0.6286,0:00:58,79.75
06/22/2020,472,40,0.0847,75,0.6047,0:02:04,127.58
